"","AtomicMass","AtomicRadius","Density","MeltingPoint","BoilingPoint","MolarHeatCapacity","State"
"Hydrogen",1.008,53,8.99e-05,14.01,20.28,28.836,"Gas"
"Helium",4.0026,31,0.0001785,0.95,4.22,5.193,"Gas"
"Lithium",6.94,167,0.534,453.65,1603,24.86,"Solid"
"Beryllium",9.0122,112,1.85,1560,2742,16.443,"Solid"
"Boron",10.81,87,2.34,2349,4200,11.087,"Solid"
"Carbon",12.011,67,2.267,3800,4300,8.517,"Solid"
"Nitrogen",14.007,56,0.0012506,63.15,77.36,29.124,"Gas"
"Oxygen",15.999,48,0.001429,54.36,90.2,29.378,"Gas"
"Fluorine",18.998,42,0.001696,53.53,85.03,31.304,"Gas"
"Neon",20.18,38,0.0008999,24.56,27.07,20.786,"Gas"
"Sodium",22.99,190,0.971,370.87,1156.09,28.23,"Solid"
"Magnesium",24.305,145,1.738,923,1363,24.869,"Solid"
"Aluminum",26.982,118,2.7,933.47,2792,24.2,"Solid"
"Silicon",28.085,111,2.33,1687,3538,19.789,"Solid"
"Phosphorus",30.974,98,1.82,317.3,550,23.824,"Solid"
"Sulfur",32.06,88,2.07,388.36,717.87,22.75,"Solid"
"Chlorine",35.45,79,0.003214,171.6,239.11,33.949,"Gas"
"Argon",39.948,71,0.001784,83.8,87.3,20.786,"Gas"
"Potassium",39.098,243,0.862,336.53,1032,29.06,"Solid"
"Calcium",40.078,194,1.54,1115,1757,25.929,"Solid"
"Scandium",44.956,184,2.989,1814,3109,25.52,"Solid"
"Titanium",47.867,176,4.54,1941,3560,25.06,"Solid"
"Vanadium",50.942,171,6.11,2183,3680,24.89,"Solid"
"Chromium",51.996,166,7.19,2180,2944,23.35,"Solid"
"Manganese",54.938,161,7.43,1519,2334,26.32,"Solid"
"Iron",55.845,156,7.874,1811,3134,25.1,"Solid"
"Cobalt",58.933,152,8.86,1768,3200,24.81,"Solid"
"Nickel",58.693,149,8.912,1728,3186,26.07,"Solid"
"Copper",63.546,145,8.96,1357.77,2835,24.44,"Solid"
"Zinc",65.38,142,7.134,692.68,1180,25.47,"Solid"
"Gallium",69.723,136,5.91,302.91,2477,26.15,"Solid"
"Germanium",72.63,125,5.323,1211.4,3106,23.22,"Solid"
"Arsenic",74.922,114,5.776,1090,887,24.64,"Solid"
"Selenium",78.971,103,4.809,494,958,25.36,"Solid"
"Bromine",79.904,94,3.12,265.8,332,75.69,"Liquid"
"Krypton",83.798,88,3.749,115.79,119.93,20.95,"Gas"
"Rubidium",85.468,265,1.532,312.45,961,31.06,"Solid"
"Strontium",87.62,219,2.64,1050,1382,26.4,"Solid"
"Yttrium",88.906,212,4.47,1799,3618,26.53,"Solid"
"Zirconium",91.224,206,6.52,2128,4682,25.36,"Solid"
"Niobium",92.906,198,8.57,2750,5017,24.6,"Solid"
"Molybdenum",95.95,190,10.28,2896,4912,24.06,"Solid"
"Technetium",98,183,11.5,2430,4538,24.27,"Solid"
"Ruthenium",101.07,178,12.37,2607,4423,24.06,"Solid"
"Rhodium",102.91,173,12.41,2237,3968,24.98,"Solid"
"Palladium",106.42,169,12.02,1828.05,3236,25.98,"Solid"
"Silver",107.87,165,10.49,1234.93,2435,25.35,"Solid"
"Cadmium",112.41,161,8.65,594.22,1040,26.02,"Solid"
"Indium",114.82,156,7.31,429.75,2345,26.74,"Solid"
"Tin",118.71,145,7.287,505.08,2875,27.29,"Solid"
